,ads_count,photos_count,maps_count,illustrations_count,comics_count,cartoons_count,headlines_count,total
1850,8841,22,5,671,9,0,11243,20791
1851,10065,20,6,457,7,0,12262,22817
1852,8764,22,10,671,10,8,13524,23009
1853,11517,45,5,1106,88,1,13224,25986
1854,15050,221,15,732,11,3,15282,31314
1855,15845,17,50,816,23,10,16070,32831
1856,19853,49,95,755,35,11,16984,37782
1857,30093,74,191,843,94,1,16820,48116
1858,38155,39,124,786,83,3,20622,59812
1859,49701,28,147,1054,51,1,19131,70113
1860,56541,88,14,1188,78,9,21700,79618
1861,59050,27,182,999,94,4,24264,84620
1862,72454,27,339,812,93,7,25322,99054
1863,79514,11,237,692,73,3,24285,104815
1864,93839,24,168,640,76,26,23335,118108
1865,97795,45,140,755,43,1,23940,122719
1866,109370,34,68,846,213,7,29151,139689
1867,125651,77,70,718,149,10,29676,156351
1868,123806,48,54,775,49,2,29226,153960
1869,120424,43,56,1203,45,7,30458,152236
1870,133718,53,276,901,41,16,35037,170042
1871,144870,61,60,725,65,19,39459,185259
1872,155391,48,80,1199,40,14,41410,198182
1873,177231,70,96,1113,55,11,45137,223713
1874,184526,66,68,866,66,24,48107,233723
1875,198604,68,150,806,74,52,50555,250309
1876,210471,145,140,564,113,40,54351,265824
1877,212114,40,193,540,52,39,57436,270414
1878,230425,95,78,666,62,27,58023,289376
1879,246794,71,336,932,43,23,60432,308631
1880,319624,88,1043,857,61,47,56542,378262
1881,358231,124,2207,883,87,24,68211,429767
1882,392921,164,2143,943,199,24,73195,469589
1883,438993,105,769,935,258,19,92497,533576
1884,484455,240,798,1398,327,70,107482,594770
1885,496337,366,672,2919,287,106,121623,622310
1886,522961,538,549,4734,306,201,130590,659879
1887,564042,610,1003,6524,462,287,144878,717806
1888,542323,522,708,7860,700,294,158644,711051
1889,591786,1063,737,10183,690,369,202440,807268
1890,674232,1044,691,16272,769,893,248241,942142
1891,752077,622,684,18868,1203,667,260764,1034885
1892,795852,724,762,23073,1707,1293,267561,1090972
1893,823381,747,866,26512,1664,1638,295339,1150147
1894,879720,956,826,27121,1821,2441,370203,1283088
1895,934866,1147,1211,28651,1867,4984,392678,1365404
1896,986298,1327,1624,29793,2162,7363,428971,1457538
1897,1030158,2915,1900,27794,1976,7670,476154,1548567
1898,1082998,3866,2499,26080,2287,7980,527993,1653703
1899,1209689,6708,2099,23364,3157,6555,565338,1816910
1900,1289438,13237,1707,22524,2435,6306,595622,1931269
1901,1401206,18331,1842,22804,2031,5117,696643,2147974
1902,1519952,28496,3248,20925,2610,4738,740237,2320206
1903,1584211,29087,3051,19392,2859,4203,728579,2371382
1904,1712962,33685,3756,21338,4100,5539,778385,2559765
1905,1793453,35191,3246,19380,4778,5151,809799,2670998
1906,1899633,39572,3831,21260,5498,5506,910185,2885485
1907,1957338,40015,3010,21640,5715,7525,1048576,3083819
1908,1943361,47037,3133,20801,6382,7582,1117076,3145372
1909,2112711,61613,3781,20975,5995,6856,1231155,3443086
1910,2127305,72052,4979,22260,8532,6135,1356307,3597570
1911,1908615,62458,5537,20009,12378,5357,1234047,3248401
1912,1919356,71952,6289,21621,16562,7040,1293963,3336783
1913,1882438,72725,5552,22368,18165,5942,1295342,3302532
1914,1854173,85775,6419,20347,18502,5714,1282302,3273232
1915,1850791,88506,6583,18752,21256,6103,1352170,3344161
1916,1907178,84357,6467,18017,23111,7121,1395572,3441823
1917,1826797,76007,6363,16963,27377,6923,1427877,3388307
1918,1635611,66558,8327,14807,28835,7800,1278066,3040004
1919,2042296,68112,7443,15756,35215,6488,1349570,3524880
1920,2083600,63352,4744,13935,32152,4570,1234580,3436933
1921,1819839,66844,4214,13968,36133,4507,1215423,3160928
1922,1717825,69148,4248,16898,41861,5282,1229495,3084757
1923,280844,10810,1331,3295,8210,1123,192262,497875
1924,207798,10708,1443,2435,7067,1115,147431,377997
1925,188782,8820,2507,1847,5494,923,122699,331072
1926,222379,8275,2309,2185,4972,1004,146168,387292
1927,207094,9588,2457,2038,5487,1121,139600,367385
1928,190495,10790,2692,1884,5231,964,133668,345724
1929,180890,9143,3205,1690,5477,1108,141303,342816
1930,168690,9329,3348,1926,4954,1119,138863,328229
1931,148371,9342,2165,1917,3540,1106,103108,269549
1932,144573,10361,1989,1595,3947,1119,101894,265478
1933,137535,10193,2537,1439,4567,1071,111938,269280
1934,151567,14245,2460,1897,5117,1236,117502,294024
1935,152443,12832,2690,1844,4930,1224,104197,280160
1936,153228,10166,2296,1418,5645,1035,91274,265062
1937,132860,5792,3050,916,7190,642,77887,228337
1938,122037,4742,2730,689,4187,408,65340,200133
1939,121615,3979,2231,462,3712,251,43299,175549
1940,148098,5639,2907,920,7314,809,69463,235150
1941,145949,7625,2311,1164,7015,770,85792,250626
1942,141284,6805,2480,1075,6109,778,77347,235878
1943,157317,6315,2594,1367,5542,939,72309,246383
1944,138345,6206,2561,1168,3863,912,62205,215260
1945,155673,6096,2075,1144,3152,848,63201,232189
1946,185139,5945,1857,1053,3280,861,68275,266410
1947,181223,4188,1750,1115,3630,797,57018,249721
1948,152987,4282,1359,1154,3031,624,43432,206869
1949,154510,6015,1888,1280,3356,634,42904,210587
1950,154961,5630,1952,1223,3893,704,37854,206217
