,filepath,pub_date,page_seq_num,edition_seq_num,batch,lccn,box,score,ocr,place_of_publication,geographic_coverage,name,publisher,url,page_url,month,year,iiif_url,download_image_path,created_at,id,lead_time,result,data
0,iahi_gastly_ver01/data/sn82015737/00279529091/1860030901/0447/002_6_95.jpg,1860-03-09,447,1,iahi_gastly_ver01,sn82015737,"[Decimal('0.30762831315880534'), Decimal('0.049735121606933906'), Decimal('0.4336036799104291'), Decimal('0.44300088703901713')]",0.9501523375511168,"['JTO', 'TMCE', 'An', 't%E', '3eott', 'County', 'Pair', 'is', 'the', 'Hnrgtil', 'M4', 'bertever', 'held', 'in', 'DaTenport,', 'so', 'is', 'The', 'Lanrest', 'aai', 'Best', 'Stock', 'OP', 'CI«lhi,CaNincr(!«ft', '¥e*tinga«', '(Suitablef', 'rFall', 'and', 'Wialer)«r«t', 'offered', 'lathe', 'market', 'will', 'open', 'at', 'SAMUEL', ""PERRY'S,"", '(store', 'oppocite', 'the', 'Post', 'Office', 'which', 'will', 'be', 'Bsede', 'up', 'to', 'suit', 'customers', 'on', 'ashortnotice,', 'and', 'Prices', 'In', 'keeplog', 'with', 'tie', 'TUMS.', 'A', 'lar^e', 'assortment', 'of', 'BEADY-MADE', ""('LOTHINtt"", 'For', 'Men,', 'Youthssnd', 'Boy«,of', 'say', 'own', 'maaufact', 'ure', 'which', 'will', 'be', 'sold', 'at', 'Baater', 'n', 'pr', 'io«».', 'I', 'shallcontii)', 'ue', 'to', 'manufacture', 'my', 'own', 'Cloth', 'ing', 'thereby', '(riving', 'a', 'A', 'BETTER', 'GARMENT', 'For', 'thesame', 'mo', 'ley', 'than', 'any', 'Eastern', 'made', 'goods,', 'Kveiythiiig', 'in', 'the', 'Furiiifthing', 'Department', 'Can', 'be', 'foutid.', 'Bblrta', 'or', 'all', 'descriptions,', 'Under', 'Clothing', 'In', 'endlMi', 'vststy,', 'Stocks,', 'Tim,', 'Handksrehlsft,', 'Btocks,', 'Suapendors,', 'At,', 'Ma,.', 'A', 'large', 'and', 'splendid', 'assortment', 'of', ""Gent's"", 'Shawls,', 'the', 'cheapest', 'ever', 'offered', 'in', 'this', 'market.', 'Allef', 'which', 'the', 'public', 'are', 'invited', 'to', '.examine.', 'MLT', 'ONB', 'PRICK.', 'sept', '18', 'WEand', 'SAMUEL', 'PERRY,', 'Brndy', 'st.,', 'oppo', '1\\', 'st', 'Office.', 'FALL', 'AND', 'WINTER', 'CLOTHING', 'A', 'O', 'S', 'K.', 'KRAUSE', 'A', ""€»'•."", 'Mammoth', 'Clothing', 'Emporium,', '36', 'West', 'Second', 'Street,', 'OPPOSITE', 'COOK', 'A', ""SARGENT'S"", 'BANK.', 'arc', 'clearing', 'out', 'our', 'entiro', 'Stock', 'of', 'Fall', 'Winter', 'GLIHIH', 'at', 'and', 'below', 'cost.', 'Now', 'in', 'tho', 'tiino', 'to', 'tuakc', 'y«ur', 'purchased.', ""Geut'a"", 'Fiirmhing', 'Ciood«!', 'every', 'varictyand', 'of', 'the', 'latest', 'stales.', 'Our', 'stock', 'of', 'Cloths,', 'Cassimeres,', 'Vestings,', 'etc.,', 'the', 'erer', 'Brought', 'to', 'this', 'Market,', 'As', 'an', 'examination', 'will', 'simw.', 'Call', 'and', 'look', 'through', 'our', 'imtnense', 'stock,', 'and', 'become', 'satisfied', 'ot', 'the', 'truth', 'of', 'our', 'assertions.', 'It.', 'KRAUSE', 'A', 'CO.,', ""N'u."", "".'jGjWui't"", 'St-.-i.lid', 'street,', ""jan'J"", 'dltwtf', 'iJavcnport.', 'Iuwa.']","Davenport, Iowa",['Iowa--Scott--Davenport'],Daily Democrat and news. [volume],"Maguire, Richardson & Co.",https://news-navigator.labs.loc.gov/data/iahi_gastly_ver01/data/sn82015737/00279529091/1860030901/0447/002_6_95.jpg,https://chroniclingamerica.loc.gov/data/batches/iahi_gastly_ver01/data/sn82015737/00279529091/1860030901/0447.jp2,3,1860,"https://chroniclingamerica.loc.gov/iiif/2/iahi_gastly_ver01%2Fdata%2Fsn82015737%2F00279529091%2F1860030901%2F0447.jp2/pct:30.76,4.98,12.6,39.33/pct:50/0/default.jpg",iahi_gastly_ver01_data_sn82015737_00279529091_1860030901_0447_002_6_95.jpg,1602237486,iahi_gastly_ver01/data/sn82015737/00279529091/1860030901/0447/002_6_95.jpg,0.838,text-only,iahi_gastly_ver01_data_sn82015737_00279529091_1860030901_0447_002_6_95.jpg
1,ohi_cobweb_ver04/data/sn85026050/00280775848/1860081701/0359/000_6_98.jpg,1860-08-17,359,1,ohi_cobweb_ver04,sn85026050,"[Decimal('0.5799164973813336'), Decimal('0.7307444280707744'), Decimal('0.7009656604520462'), Decimal('0.9411789502664417')]",0.9858590960502625,"['9', 'BI.', 'I', '.QJtf', 'A', 'never', 'falllu', 'Antidote', 'for', 'Sick', 'Ih', 'ad-', 'C', 'si', 'ba,', 'Dyspepsia,', 'Fever', 'and', 'Ague,', 'Liver', 'Complaint,', 'Costlvencaa,', 'V', 'J,', 'Depraved', 'Appetite,', 'Disor-', 'Stomach,', 'Female', 'UDSVUCllOUS,', 'C', 'o0', 'A', '&ed', 'tb', 'tMUmony', 'of', 'GOV.', 'WISE,', 'Va.', '""Wujos\'1', 'Pau', 'an', 'a', 'aufe', 'and', 'm.t', 'useful', 'AasfJ', 'Rewudy', 'tor', 'Constipation,', 'and', 'aflbotlona', 'of', 'th', 'Digestif', 'Organs.', 'for', 'Honen.', 'thsy', 'hsv.', 'proved', 'tham-l', 'alvs', 'a', 'apart', 'fto', '""', 'Bead', 'tha', 'tattlmonj', 'of', 'GOV.', 'KINO,', 'Ala.', 'I', 'would', 'not', 'b', 'witfaoot', ""Wllaon's"", 'Pills', 'for', 'anr', 'pries.', 'For', 'Indigestion', 'and', 'Head', 'ache,', 'I', 'dtvtd.', 's', 'PiU', 'and', 'lake', 'tin)', 'halt', 'It', 'gtvat', 'lmnwdlat', 'rellat', 'old', 'by', 'Druggist', 'DmI', 'Tryhete.', 'PKIPABKD', 'BV', 'B.', 'Is.', 'FAHWESTOCK', 'tt', 'CO.', 'Importer', '&', 'Wholesale', 'Druggists.', 'St.', '60,', 'onxsr', 'Wool', 'and', '4Ui', 'BU.', '...', 'PITTwBUROH,', 'PAJ.', 'sol', 'rsanura', 'or', 'O', 'B.', 'L', ""Fahneatock'."", 'Vermifuge.', '0', 'foraal.br', '8.', 'nilVKLAKD,', '.']","Fremont, Sandusky County [Ohio]",['Ohio--Sandusky--Fremont'],Fremont journal. [volume],I.W. Booth,https://news-navigator.labs.loc.gov/data/ohi_cobweb_ver04/data/sn85026050/00280775848/1860081701/0359/000_6_98.jpg,https://chroniclingamerica.loc.gov/data/batches/ohi_cobweb_ver04/data/sn85026050/00280775848/1860081701/0359.jp2,8,1860,"https://chroniclingamerica.loc.gov/iiif/2/ohi_cobweb_ver04%2Fdata%2Fsn85026050%2F00280775848%2F1860081701%2F0359.jp2/pct:57.99,73.08,12.11,21.05/pct:50/0/default.jpg",ohi_cobweb_ver04_data_sn85026050_00280775848_1860081701_0359_000_6_98.jpg,1602236992,ohi_cobweb_ver04/data/sn85026050/00280775848/1860081701/0359/000_6_98.jpg,7.593,illustrations,ohi_cobweb_ver04_data_sn85026050_00280775848_1860081701_0359_000_6_98.jpg
2,curiv_jojoba_ver01/data/sn84038814/00279557207/1860112201/0498/000_6_98.jpg,1860-11-22,498,1,curiv_jojoba_ver01,sn84038814,"[Decimal('0.5793982023445715'), Decimal('0.43399254432091344'), Decimal('0.7086811887979758'), Decimal('0.6452401029146635')]",0.986738920211792,[],"Marysville, Calif.",['California--Yuba--Marysville'],Daily national Democrat. [volume],A.S. Randall & Co.,https://news-navigator.labs.loc.gov/data/curiv_jojoba_ver01/data/sn84038814/00279557207/1860112201/0498/000_6_98.jpg,https://chroniclingamerica.loc.gov/data/batches/curiv_jojoba_ver01/data/sn84038814/00279557207/1860112201/0498.jp2,11,1860,"https://chroniclingamerica.loc.gov/iiif/2/curiv_jojoba_ver01%2Fdata%2Fsn84038814%2F00279557207%2F1860112201%2F0498.jp2/pct:57.93,43.4,12.93,21.13/pct:50/0/default.jpg",curiv_jojoba_ver01_data_sn84038814_00279557207_1860112201_0498_000_6_98.jpg,1602237117,curiv_jojoba_ver01/data/sn84038814/00279557207/1860112201/0498/000_6_98.jpg,0.969,illustrations,curiv_jojoba_ver01_data_sn84038814_00279557207_1860112201_0498_000_6_98.jpg
3,hihouml_lilac_ver02/data/sn82015408/00212471380/1860031701/0833/005_6_90.jpg,1860-03-17,833,1,hihouml_lilac_ver02,sn82015408,"[Decimal('0.5183942753296475'), Decimal('0.5235361735026042'), Decimal('0.6749639447951159'), Decimal('0.5930701090494792')]",0.9057828187942504,"['C.', 'H.', 'L.EWEUS.', 'NOTICE.', 'Competition', 'the', 'Life', 'of', 'Trade', '!', 'VORTII', 'AVE', 'ST', ""H'MBKIl"", 'at', '$30', 'per', 'M', 'fteon-', 'XI', 'sisting', 'of', 'IISrCI-I', 'BOAEDS', '!', ':', 'l4', '3x4', 'i', 'x', 'SCANTLING.', 'For', 'sale', 'by', '39', 'tf', 'GEORGE', 'G.', 'HOWE.']","Honolulu [Oahu], Hawaii",['Hawaii--Honolulu--Honolulu'],Polynesian. [volume],[publisher not identified],https://news-navigator.labs.loc.gov/data/hihouml_lilac_ver02/data/sn82015408/00212471380/1860031701/0833/005_6_90.jpg,https://chroniclingamerica.loc.gov/data/batches/hihouml_lilac_ver02/data/sn82015408/00212471380/1860031701/0833.jp2,3,1860,"https://chroniclingamerica.loc.gov/iiif/2/hihouml_lilac_ver02%2Fdata%2Fsn82015408%2F00212471380%2F1860031701%2F0833.jp2/pct:51.83,52.36,15.66,6.96/pct:50/0/default.jpg",hihouml_lilac_ver02_data_sn82015408_00212471380_1860031701_0833_005_6_90.jpg,1602237242,hihouml_lilac_ver02/data/sn82015408/00212471380/1860031701/0833/005_6_90.jpg,0.774,text-only,hihouml_lilac_ver02_data_sn82015408_00212471380_1860031701_0833_005_6_90.jpg
4,curiv_jojoba_ver01/data/sn84038814/00279557190/1860022101/0816/006_6_91.jpg,1860-02-21,816,1,curiv_jojoba_ver01,sn84038814,"[Decimal('0.598211174337273'), Decimal('0.0393043301089006'), Decimal('0.7273190490200988'), Decimal('0.18313942278100379')]",0.9188033938407898,[],"Marysville, Calif.",['California--Yuba--Marysville'],Daily national Democrat. [volume],A.S. Randall & Co.,https://news-navigator.labs.loc.gov/data/curiv_jojoba_ver01/data/sn84038814/00279557190/1860022101/0816/006_6_91.jpg,https://chroniclingamerica.loc.gov/data/batches/curiv_jojoba_ver01/data/sn84038814/00279557190/1860022101/0816.jp2,2,1860,"https://chroniclingamerica.loc.gov/iiif/2/curiv_jojoba_ver01%2Fdata%2Fsn84038814%2F00279557190%2F1860022101%2F0816.jp2/pct:59.82,3.94,12.92,14.39/pct:50/0/default.jpg",curiv_jojoba_ver01_data_sn84038814_00279557190_1860022101_0816_006_6_91.jpg,1602236985,curiv_jojoba_ver01/data/sn84038814/00279557190/1860022101/0816/006_6_91.jpg,1.01,illustrations,curiv_jojoba_ver01_data_sn84038814_00279557190_1860022101_0816_006_6_91.jpg
5,wvu_austria_ver01/data/sn84026845/00202190650/1860032201/0277/000_6_96.jpg,1860-03-22,277,1,wvu_austria_ver01,sn84026845,"[Decimal('0.2810836642761977'), Decimal('0.021020836717500463'), Decimal('0.5577545539091152'), Decimal('0.21551153228038877')]",0.96030455827713,"['B.', 'A.', 'Fahnestock', '&', ""Co's."", 'PURE', 'WHITE', 'LEAD', 'Has', 'been', 'analyzed', 'by', 'competent', 'Chemists,', 'at', 'die', 'request', 'of', 'disinterested', 'parties,', 'with', 'the', 'following', 'results:', 'Analysis', 'of', 'Xeasrs.', 'POWERS', '&', 'WEIGHTMAN,', 'sample', 'furnished', 'by', 'Heaara.', 'WM.', 'M', 'CULLT', '*', 'CO.', 'of', 'Pittsburgh.', 'Philadelphia,', 'Oct.', '17,', '1859.', 'We', 'have', 'examined', 'the', 'keg', 'of', 'White', 'Lead,', 'ground', 'in', 'oil,', 'branded', '""Pure', 'White', 'Lcr.d,""', 'and', 'find', 'it', 'to', 'be', 'as', 'represented', 'I', 'CO', 'parts', 'of', 'the', 'mixture', 'furnished', 'Oil', 'g', 'parts,', 'Whir;', 'Lead,', '91', '""', '100', 'Powers', 'Se', 'Weichtman.', 'Analysis', 'of', 'A.', 'A.', 'HATES,', 'Esq..', 'State', 'Assayer', 'of', 'Haasachussets,', 'of', 'sam', 'ple', 'furbished', 'by', 'Messrs.', 'LYON,', 'SHOHB', 'ft', 'CO.', 'of', 'Pittsburgh.', '16', 'Boylsto.v', 'St.,', 'Boston,', 'Oct.', '6,', '1859.', 'Sample', 'of', 'Lead', 'in', 'Oil', 'was', 'analyzed', 'for', 'any', 'impurity,', 'but', 'found', 'to', 'consist', 'of', 'Oil', 'and', 'White', 'Lead', 'only.', 'A.', 'A.', 'Havh.', 'We', 'claim', 'for', 'our', 'White', 'Lead', 'not', 'only', 'strict', 'purity,', 'but', 'a', 'degree', 'of', 'fineness', 'and', 'whiteness', 'not', 'equaled', 'by', 'any', 'other', 'brani.', 'B.', 'A.', 'Fahxe-tock', '&', 'Co.', 'T.', 'H.', 'LOGAX', '&', 'CO..', 'Agents', 'for', 'Wb.eling.', ""febl'2"", '3md4w']","Wheeling, Va. [W. Va.]",['West Virginia--Ohio--Wheeling'],Daily intelligencer. [volume],Campbell & M'Dermot,https://news-navigator.labs.loc.gov/data/wvu_austria_ver01/data/sn84026845/00202190650/1860032201/0277/000_6_96.jpg,https://chroniclingamerica.loc.gov/data/batches/wvu_austria_ver01/data/sn84026845/00202190650/1860032201/0277.jp2,3,1860,"https://chroniclingamerica.loc.gov/iiif/2/wvu_austria_ver01%2Fdata%2Fsn84026845%2F00202190650%2F1860032201%2F0277.jp2/pct:28.1,2.11,27.67,19.45/pct:50/0/default.jpg",wvu_austria_ver01_data_sn84026845_00202190650_1860032201_0277_000_6_96.jpg,1602236720,wvu_austria_ver01/data/sn84026845/00202190650/1860032201/0277/000_6_96.jpg,1.208,text-only,wvu_austria_ver01_data_sn84026845_00202190650_1860032201_0277_000_6_96.jpg
6,tu_furry_ver01/data/sn83045628/00200293587/1860042101/0069/000_6_94.jpg,1860-04-21,69,1,tu_furry_ver01,sn83045628,"[Decimal('0.2715182629933798'), Decimal('0.5381755536703364'), Decimal('0.38869228133236067'), Decimal('0.9506625809172137')]",0.9436057806015016,"[""IL'J'S"", 'ami', '(', ""'ATS,"", 'BONNETS', 'till', 'OOODS,', 'CLOT', 'II', 'I', 'Hi.', 'i', 'r', 'A', 'JX', 'I)', 'av', 'a', 'h', 'i', 'G', 'R', '0', 'C', 'I', 'R', 'I', 'E', 'C,', '4', 'Mi', 'fc""', 'i', 'V', 'I', 'iTI', '!', ""fc'f?"", '4', ""1'1'h'l"", 't', ""V'tTlA."", 'It', 'I', 'f', '.', '-', '1', 'A', 'A', 'ff.', 'Aft', 'U', 'i', 'T', '.', 'Il', 'k', 'A', 'A.', '-', '.', 'ARf', 'TO', 'A', 'CiniPIXTI.', 'TiUllH', 'XTflfK.', 'Will.', 'MI', 'TIIF.Y', 'OFKK', 'TO', 'MKKCniaVNTS', 'Xj', 'O', 'mVU""', 'Til', 'K', 'sami:', 'r.oons', 'I\'AJ""', 'HI', 'rriu:AfKn', 'FROM', 'EArtHM', 'KsoiVlLLIt,', 'ilil.', 'til,', 'lr5td.']","Knoxville, Tenn.",['Tennessee--Knox--Knoxville'],Brownlow's Knoxville Whig. [volume],E.B.P. Kinsloe,https://news-navigator.labs.loc.gov/data/tu_furry_ver01/data/sn83045628/00200293587/1860042101/0069/000_6_94.jpg,https://chroniclingamerica.loc.gov/data/batches/tu_furry_ver01/data/sn83045628/00200293587/1860042101/0069.jp2,4,1860,"https://chroniclingamerica.loc.gov/iiif/2/tu_furry_ver01%2Fdata%2Fsn83045628%2F00200293587%2F1860042101%2F0069.jp2/pct:27.15,53.82,11.72,41.25/pct:50/0/default.jpg",tu_furry_ver01_data_sn83045628_00200293587_1860042101_0069_000_6_94.jpg,1602237323,tu_furry_ver01/data/sn83045628/00200293587/1860042101/0069/000_6_94.jpg,2.3,text-only,tu_furry_ver01_data_sn83045628_00200293587_1860042101_0069_000_6_94.jpg
7,iahi_bellsprout_ver01/data/sn84027352/00279528578/1860020201/0444/002_6_93.jpg,1860-02-02,444,1,iahi_bellsprout_ver01,sn84027352,"[Decimal('0.5682708976804748'), Decimal('0.5028207913385059'), Decimal('0.7033676160603736'), Decimal('0.8570359409115721')]",0.9384623169898988,"[""'Vimilli"", '1', 'i', '(FALL', '&', 'WINTER', 'Mammoth', 'Clothing', 'Depot!!!', '""I', 'I', 'my', 'inv4', 'thiii^', 'nt', ""E/.jkiel'si"", 'Mamiuoth', 'i', '(Mothinj', 'I', '):-[iot.', ""Tlnit's"", 'so!', 'FH^IIKswhacriber', 'egs', 'tear*', 'te', 'lsAm', 'tko', 'sttlaem', 'JL', 'of', 'Wapello', 'and', 'surrounding', 'counties,', 'that', 'they', 'nre', 'nnw', 'In', 'receipt', 'of', 'their', 'Fall', 'and', 'Winter', 'Qoadi,', 'embracing', 'The', 'I„arsest', 'Ntock', 'of', 'Ready', 'Made', 'CloLliittyr,', 'ATA""®', 'BROCiiHT', 'TO', 'TBS', 'INTERIOR', 'OFIO', 'WA', 'Our', 'f-.cilitles', 'for', ""buv'ng"", 'go-i', 'is', 'are', 'such.', 'Hieing', 'con', 'nected', 'with', 'some', 'of', 'the', 'largest', 'mauiitactori', 's', 'in', 'the', 'Last,', 'and', 'having', 'a', 'large', 'h-oise', 'in', 'nor|i', 'i', 'ton', 'from', 'which', 'we', 'receive', 'supplies', 'weekly)', 'that', 'we', 're', 'en', 'ablvd', 'to', 'sell', 'goods', 'Al', 'very', 'Low', 'Figures.', 'We', 'make', 'no', 'Idle', 'boast', 'in', 'saying', 'that', 'we', 'can', 'tfKLL', 'GOODS', 'F!', 'OM', '15', 'TO', '2»', ""I'KU"", 'CKNT', 'OllUTi/5', 'KK', 'THAN', 'ANY', 'IHM', 'SI-:', 'IN', 'THE', 'DKS', 'MOlNKS', 'VAI.LR7.', 'As', 'seeing', 'Is', 'hellevlng,', 'call', 'In', 'and', 'see', 'fl»r', 'youfOelTea,', 'Our', 'Motto', 'Is,', 'Ku', 'Trouble', 'to', 'Slmw', 'fJoodi.', 'Among', 'oui', 'stock', 'will', 'be', 'found', 'COATS,', 'PANTS,', 'AND', 'VESTS,', 'In', 'Styles', 'and', 'quality', 'to', '^ult', 'the', 'Mt', ""fasti'lioaSL"", 'Alao', 'II', '*T«i,', 'M,', 'siiiKis,', 'pit', 'oi.i.tHs,', 'i', 'i.ov', '91', 'A', 'I)', 'i:', ""MT'»"", 'F.', 'SI', 'm~n', 'w', '-m-n', '^tr', 'Ami', 'in', 'everything', 'that', 'Is', 'usually', 'found', 'in', 'a', 'first', 'class', ""iei:tleinaiis'"", 'Furnishing', 'House,', 'besides', 'which', 'will', 'tic', 'found', 'TKCNKS,', 'CARPKT', '«\\C.S,', 'ENAMALLKO', 'BAGS,', 'VAL1SKS,', 'and', 'a', 'sp)eiidiillo»', 'of', 'IXDIA', 'RUBBER', 'CLOTIIIXQ.', 'A', 'large', 'stock', 'of', 'Cloths,', 'Casslmeres,', 'aud', 'Vesting*,', 'custom', 'work', 'constantly', 'on', 'hand.', 'Thankful', ""f'Tpast"", '|iatronage,', 'wepray', 'a', ""ooti'lnunu"", 'e', 'of', 'tbe', 'same.', 'l-*r-', 'l.,', 'not', 'fo-get', 'the', 'i»laee', ""-RTK'\\"", ""IKL'S"", 'M-m-', 'moth', ""t'iot'iing"", 'Oep.it.', 'Main', 'street,', 'Ottuuia*,', 'Inuuc', 'diat.', 'Iv', 'npiumile', 'the', 'Ottuoiwa', 'Hotel.', 'OS', 's4|i»t|x', ""'j.^jvayisq"", 'ymjK', 'jnq', ""'aiojojarwj"", 'yiaavti', 'for']","Ottumwa, Iowa",['Iowa--Wapello--Ottumwa'],The weekly Ottumwa courier. [volume],J.W. & G.P. Norris,https://news-navigator.labs.loc.gov/data/iahi_bellsprout_ver01/data/sn84027352/00279528578/1860020201/0444/002_6_93.jpg,https://chroniclingamerica.loc.gov/data/batches/iahi_bellsprout_ver01/data/sn84027352/00279528578/1860020201/0444.jp2,2,1860,"https://chroniclingamerica.loc.gov/iiif/2/iahi_bellsprout_ver01%2Fdata%2Fsn84027352%2F00279528578%2F1860020201%2F0444.jp2/pct:56.82,50.29,13.51,35.43/pct:50/0/default.jpg",iahi_bellsprout_ver01_data_sn84027352_00279528578_1860020201_0444_002_6_93.jpg,1602237028,iahi_bellsprout_ver01/data/sn84027352/00279528578/1860020201/0444/002_6_93.jpg,1.155,illustrations,iahi_bellsprout_ver01_data_sn84027352_00279528578_1860020201_0444_002_6_93.jpg
8,curiv_jojoba_ver01/data/sn84038814/00279557207/1860072601/0087/001_6_95.jpg,1860-07-26,87,1,curiv_jojoba_ver01,sn84038814,"[Decimal('0.6939450665470904'), Decimal('0.29700505687745826'), Decimal('0.81717524118919'), Decimal('0.6793569826841903')]",0.9591352939605712,[],"Marysville, Calif.",['California--Yuba--Marysville'],Daily national Democrat. [volume],A.S. Randall & Co.,https://news-navigator.labs.loc.gov/data/curiv_jojoba_ver01/data/sn84038814/00279557207/1860072601/0087/001_6_95.jpg,https://chroniclingamerica.loc.gov/data/batches/curiv_jojoba_ver01/data/sn84038814/00279557207/1860072601/0087.jp2,7,1860,"https://chroniclingamerica.loc.gov/iiif/2/curiv_jojoba_ver01%2Fdata%2Fsn84038814%2F00279557207%2F1860072601%2F0087.jp2/pct:69.39,29.71,12.33,38.24/pct:50/0/default.jpg",curiv_jojoba_ver01_data_sn84038814_00279557207_1860072601_0087_001_6_95.jpg,1602236826,curiv_jojoba_ver01/data/sn84038814/00279557207/1860072601/0087/001_6_95.jpg,1.103,illustrations,curiv_jojoba_ver01_data_sn84038814_00279557207_1860072601_0087_001_6_95.jpg
9,ohi_arnarson_ver01/data/sn83035173/00296027297/1860121201/0412/000_6_94.jpg,1860-12-12,412,1,ohi_arnarson_ver01,sn83035173,"[Decimal('0.053070784451668726'), Decimal('0.656615614353266'), Decimal('0.19114304927357456'), Decimal('0.9476068711818609')]",0.9465575814247132,"['JVC', 'nil', 'whrm', 'if', 'mjiv', 'V.cwxoptw', '!', 'm', 'JL', 'V', 'UJ1', 'f', 'UVU1', 'W', '111UT', 'Vlll', '.', 'T', 'I', 'fl', 'I', 'J', 'T', 'l', 'J', 'HI', ""'"", 'T', ""T.'"", '-KTW', 'T', 'will', 'CAntinnea', 'Ihn', 'hnainASR', 'in', '11', 'its', 'branclies', 'at', 'tlaa', '-', 'A', 'h&d', 'jut', 'kli', 'satire', 'Steck.', 'I', 'will', 'always', 'keep', 'en', 'band', 'a', 'full,', 'fresh', 'sad', 'well', 'selected', 'suck', 'f', ';', 'JRUGS,', 'JCEDICINSS.', ""'rj"", 'PAINT.,;', ""'"", 'OILS,', ""'"", 'V', ';', 'DTE', 'STUFFS,', '-:.', ""'"", 'PATENT', 'MEDiCINEB,', 'io.,', '&a.', 'waiea', 'X', 'win', 'sell', 'attkeZerf', 'efl', '55""', 'prices;', 'also', '.', 'a', 'full', 'assortment', 'or', 'TTINE8', '&', 'MQU01t', 'Urge', 'quantities', 'which', 'I', 'will', 'sell', 'to', 'country', 'deal', 'rs', 'as', 'Jew', 'as', 'they', 'can', 'buy', 'them', 'at', 'any', 'tewa', 'or', 'Oty', 'in', 'the', 'State.', 'In', 'connection', 'with', '""', ""'"", 'the', 'abovs;', 'I', 'intend', 'also', 'tokep', 'an', 'assortment', 'of', 'SCHOOL', 'BOOKS,', 'STATIONERY,', 'AND', 'NOTIONS;', 'and', 'thankful', 't', 'bit', 'friends', 'for', 'pastfavors,', 'I', 'respectfully', 'invite', 'then.', 'a-a', '.t', 'mv', 'new', 'location,', 'where', 'I', 'will', 'be', 'hap', 'py', 'to', 'supply', 'them', 'with', 'any', 'goods', 'in', 'my', 'line,', 'cheap', 'for', 'CASH.', 'T', '-', 'Kwnx', 'will', 'continue', 'to', 'wait', 'upon', ""customers'"", 'at', 'the', 'same', 'establishment.', 'Ilis', 'long', 'ex-', 'iri.n..', ';n', 'ti,.', 'Kninss', 'is', 'a', 'euarantee', 'of', 'safety', 'in', 'ii', 'preparation', 'of', 'prescriptions', 'and', 'filling', 'all', 'eri', 'BE', 'wra', 'and', 'bar', 'vour', 'Baots', 'an', '.Shoes', 'of', 'J.', 'WASSON.', 'ef', 'Ashland', 't', 'the', 'old', 'stand', 'of', 'Viiirn', 'Sl', 'Stobbs', 'mt', 'frat', 'reduced', 'priest', 'fr-', 'Omsk,', '(er', 'short,', 'Orodit', 'rOKCNTKATED', 'LYE', 'The', 'best', 'article', 'ia', '.', 'warla', 'fr', 'BkkiM', 'Soap,', 'for', 'sale', 'by', 'Aif', 'S.', 'B.', 'P.', 'KNOX-t', '""XUST', 'EECE1VJSD', 'A', 'lot', 'of', ""Hughe's"", 'oelebratel', 'I', 'Champaign', 'nd', 'Stock', 'Ale,', 'for', 'aal', 'by', 'the', 'fch']","Ashland, Ashland County, Ohio",['Ohio--Ashland--Ashland'],The Ashland union. [volume],Jno. Sheridan,https://news-navigator.labs.loc.gov/data/ohi_arnarson_ver01/data/sn83035173/00296027297/1860121201/0412/000_6_94.jpg,https://chroniclingamerica.loc.gov/data/batches/ohi_arnarson_ver01/data/sn83035173/00296027297/1860121201/0412.jp2,12,1860,"https://chroniclingamerica.loc.gov/iiif/2/ohi_arnarson_ver01%2Fdata%2Fsn83035173%2F00296027297%2F1860121201%2F0412.jp2/pct:5.3,65.67,13.81,29.1/pct:50/0/default.jpg",ohi_arnarson_ver01_data_sn83035173_00296027297_1860121201_0412_000_6_94.jpg,1602237316,ohi_arnarson_ver01/data/sn83035173/00296027297/1860121201/0412/000_6_94.jpg,2.294,text-only,ohi_arnarson_ver01_data_sn83035173_00296027297_1860121201_0412_000_6_94.jpg
